subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650163	16:0 palmitic (%)	6.3			Bayer Crop Science		green house in California Bay area		
PI 650164	16:0 palmitic (%)	6.9			Bayer Crop Science		green house in California Bay area		
PI 650165	16:0 palmitic (%)	7.5			Bayer Crop Science		green house in California Bay area		
PI 650166	16:0 palmitic (%)	7.8			Bayer Crop Science		green house in California Bay area		
PI 650167	16:0 palmitic (%)	6.8			Bayer Crop Science		green house in California Bay area		
PI 650168	16:0 palmitic (%)	6.2			Bayer Crop Science		green house in California Bay area		
Suneson	16:0 palmitic (%)	7.5			Bayer Crop Science		green house in California Bay area		
PI 258366	18:1n-9 oleic (%)	15.0			Bayer Crop Science		green house in California Bay area		
PI 258367	18:1n-9 oleic (%)	14.6			Bayer Crop Science		green house in California Bay area		
PI 304269	18:1n-9 oleic (%)	12.2			Bayer Crop Science		green house in California Bay area		
PI 304270	18:1n-9 oleic (%)	14.1			Bayer Crop Science		green house in California Bay area		
PI 304271	18:1n-9 oleic (%)	13.8			Bayer Crop Science		green house in California Bay area		
PI 311735	18:1n-9 oleic (%)	12.2			Bayer Crop Science		green house in California Bay area		
PI 311736	18:1n-9 oleic (%)	10.7			Bayer Crop Science		green house in California Bay area		
PI 597833A	18:1n-9 oleic (%)	14.4			Bayer Crop Science		green house in California Bay area		
PI 597833B	18:1n-9 oleic (%)	13.9			Bayer Crop Science		green house in California Bay area		
PI 633192	18:1n-9 oleic (%)	13.7			Bayer Crop Science		green house in California Bay area		
PI 633193	18:1n-9 oleic (%)	14.9			Bayer Crop Science		green house in California Bay area		
PI 633194	18:1n-9 oleic (%)	12.2			Bayer Crop Science		green house in California Bay area		
PI 650140	18:1n-9 oleic (%)	14.5			Bayer Crop Science		green house in California Bay area		
PI 650141	18:1n-9 oleic (%)	15.7			Bayer Crop Science		green house in California Bay area		
PI 650142A	18:1n-9 oleic (%)	13.8			Bayer Crop Science		green house in California Bay area		
PI 650142B	18:1n-9 oleic (%)	13.0			Bayer Crop Science		green house in California Bay area		
PI 650143	18:1n-9 oleic (%)	9.8			Bayer Crop Science		green house in California Bay area		
PI 650144	18:1n-9 oleic (%)	14.2			Bayer Crop Science		green house in California Bay area		
PI 650145	18:1n-9 oleic (%)	13.4			Bayer Crop Science		green house in California Bay area		
PI 650146	18:1n-9 oleic (%)	14.1			Bayer Crop Science		green house in California Bay area		
PI 650147	18:1n-9 oleic (%)	11.9			Bayer Crop Science		green house in California Bay area		
PI 650148	18:1n-9 oleic (%)	10.1			Bayer Crop Science		green house in California Bay area		
PI 650149	18:1n-9 oleic (%)	9.1			Bayer Crop Science		green house in California Bay area		
PI 650150	18:1n-9 oleic (%)	10.3			Bayer Crop Science		green house in California Bay area		
PI 650151	18:1n-9 oleic (%)	14.4			Bayer Crop Science		green house in California Bay area		
PI 650152	18:1n-9 oleic (%)	17.1			Bayer Crop Science		green house in California Bay area		
PI 650153	18:1n-9 oleic (%)	9.8			Bayer Crop Science		green house in California Bay area		
PI 650154	18:1n-9 oleic (%)	10.1			Bayer Crop Science		green house in California Bay area		
PI 650155*	18:1n-9 oleic (%)	14.1			Bayer Crop Science		green house in California Bay area		
PI 650156	18:1n-9 oleic (%)	11.0			Bayer Crop Science		green house in California Bay area		
PI 650157A	18:1n-9 oleic (%)	13.9			Bayer Crop Science		green house in California Bay area		
PI 650157B	18:1n-9 oleic (%)	12.6			Bayer Crop Science		green house in California Bay area		
PI 650158A	18:1n-9 oleic (%)	13.8			Bayer Crop Science		green house in California Bay area		
PI 650158B	18:1n-9 oleic (%)	11.4			Bayer Crop Science		green house in California Bay area		
PI 650159	18:1n-9 oleic (%)	12.0			Bayer Crop Science		green house in California Bay area		
PI 650163	18:1n-9 oleic (%)	13.6			Bayer Crop Science		green house in California Bay area		
PI 650164	18:1n-9 oleic (%)	13.3			Bayer Crop Science		green house in California Bay area		
PI 650165	18:1n-9 oleic (%)	12.5			Bayer Crop Science		green house in California Bay area		
PI 650166	18:1n-9 oleic (%)	12.3			Bayer Crop Science		green house in California Bay area		
PI 650167	18:1n-9 oleic (%)	12.2			Bayer Crop Science		green house in California Bay area		
PI 650168	18:1n-9 oleic (%)	12.3			Bayer Crop Science		green house in California Bay area		
Suneson	18:1n-9 oleic (%)	10.6			Bayer Crop Science		green house in California Bay area		
PI 258366	18:2n-6 linoleic LA (%)	25.4			Bayer Crop Science		green house in California Bay area		
PI 258367	18:2n-6 linoleic LA (%)	24.8			Bayer Crop Science		green house in California Bay area		
PI 304269	18:2n-6 linoleic LA (%)	28.6			Bayer Crop Science		green house in California Bay area		
PI 304270	18:2n-6 linoleic LA (%)	23.6			Bayer Crop Science		green house in California Bay area		
PI 304271	18:2n-6 linoleic LA (%)	21.2			Bayer Crop Science		green house in California Bay area		
PI 311735	18:2n-6 linoleic LA (%)	25.8			Bayer Crop Science		green house in California Bay area		
PI 311736	18:2n-6 linoleic LA (%)	24.8			Bayer Crop Science		green house in California Bay area		
PI 597833A	18:2n-6 linoleic LA (%)	19.7			Bayer Crop Science		green house in California Bay area		
PI 597833B	18:2n-6 linoleic LA (%)	19.6			Bayer Crop Science		green house in California Bay area		
PI 633192	18:2n-6 linoleic LA (%)	23.1			Bayer Crop Science		green house in California Bay area		
PI 633193	18:2n-6 linoleic LA (%)	18.0			Bayer Crop Science		green house in California Bay area		
PI 633194	18:2n-6 linoleic LA (%)	27.4			Bayer Crop Science		green house in California Bay area		
PI 650140	18:2n-6 linoleic LA (%)	24.0			Bayer Crop Science		green house in California Bay area		
PI 650141	18:2n-6 linoleic LA (%)	28.4			Bayer Crop Science		green house in California Bay area		
PI 650142A	18:2n-6 linoleic LA (%)	23.7			Bayer Crop Science		green house in California Bay area		
PI 650142B	18:2n-6 linoleic LA (%)	24.8			Bayer Crop Science		green house in California Bay area		
PI 650143	18:2n-6 linoleic LA (%)	19.7			Bayer Crop Science		green house in California Bay area		
PI 650144	18:2n-6 linoleic LA (%)	23.7			Bayer Crop Science		green house in California Bay area		
PI 650145	18:2n-6 linoleic LA (%)	18.7			Bayer Crop Science		green house in California Bay area		
PI 650146	18:2n-6 linoleic LA (%)	25.6			Bayer Crop Science		green house in California Bay area		
PI 650147	18:2n-6 linoleic LA (%)	20.8			Bayer Crop Science		green house in California Bay area		
PI 650148	18:2n-6 linoleic LA (%)	21.9			Bayer Crop Science		green house in California Bay area		
PI 650149	18:2n-6 linoleic LA (%)	21.3			Bayer Crop Science		green house in California Bay area		
PI 650150	18:2n-6 linoleic LA (%)	20.2			Bayer Crop Science		green house in California Bay area		
PI 650151	18:2n-6 linoleic LA (%)	21.2			Bayer Crop Science		green house in California Bay area		
PI 650152	18:2n-6 linoleic LA (%)	17.3			Bayer Crop Science		green house in California Bay area		
PI 650153	18:2n-6 linoleic LA (%)	21.7			Bayer Crop Science		green house in California Bay area		
PI 650154	18:2n-6 linoleic LA (%)	19.8			Bayer Crop Science		green house in California Bay area		
PI 650155*	18:2n-6 linoleic LA (%)	18.4			Bayer Crop Science		green house in California Bay area		
PI 650156	18:2n-6 linoleic LA (%)	19.1			Bayer Crop Science		green house in California Bay area		
PI 650157A	18:2n-6 linoleic LA (%)	17.9			Bayer Crop Science		green house in California Bay area		
PI 650157B	18:2n-6 linoleic LA (%)	21.2			Bayer Crop Science		green house in California Bay area		
PI 650158A	18:2n-6 linoleic LA (%)	16.1			Bayer Crop Science		green house in California Bay area		
PI 650158B	18:2n-6 linoleic LA (%)	21.6			Bayer Crop Science		green house in California Bay area		
PI 650159	18:2n-6 linoleic LA (%)	21.3			Bayer Crop Science		green house in California Bay area		
PI 650163	18:2n-6 linoleic LA (%)	20.8			Bayer Crop Science		green house in California Bay area		
PI 650164	18:2n-6 linoleic LA (%)	21.6			Bayer Crop Science		green house in California Bay area		
PI 650165	18:2n-6 linoleic LA (%)	27.6			Bayer Crop Science		green house in California Bay area		
PI 650166	18:2n-6 linoleic LA (%)	27.3			Bayer Crop Science		green house in California Bay area		
PI 650167	18:2n-6 linoleic LA (%)	21.4			Bayer Crop Science		green house in California Bay area		
PI 650168	18:2n-6 linoleic LA (%)	19.1			Bayer Crop Science		green house in California Bay area		
Suneson	18:2n-6 linoleic LA (%)	27.0			Bayer Crop Science		green house in California Bay area		
PI 258366	18:3n-3 ALA (%)	26.6			Bayer Crop Science		green house in California Bay area		
PI 258367	18:3n-3 ALA (%)	27.9			Bayer Crop Science		green house in California Bay area		
PI 304269	18:3n-3 ALA (%)	23.5			Bayer Crop Science		green house in California Bay area		
PI 304270	18:3n-3 ALA (%)	28.7			Bayer Crop Science		green house in California Bay area		
PI 304271	18:3n-3 ALA (%)	29.4			Bayer Crop Science		green house in California Bay area		
PI 311735	18:3n-3 ALA (%)	26.2			Bayer Crop Science		green house in California Bay area		
PI 311736	18:3n-3 ALA (%)	29.5			Bayer Crop Science		green house in California Bay area		
PI 597833A	18:3n-3 ALA (%)	32.2			Bayer Crop Science		green house in California Bay area		
