subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650159	Bolting (days)	20.0			Bayer Crop Science		green house in California Bay area		
PI 650163	Bolting (days)	22.4			Bayer Crop Science		green house in California Bay area		
PI 650164	Bolting (days)	21.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Bolting (days)	21.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Bolting (days)	21.0			Bayer Crop Science		green house in California Bay area		
PI 650167*	Bolting (days)	33.8			Bayer Crop Science		green house in California Bay area		
PI 650168*	Bolting (days)	23.0			Bayer Crop Science		green house in California Bay area		
Suneson	Bolting (days)	22.1			Bayer Crop Science		green house in California Bay area		
PI 258366	Flowering (days)	29.8			Bayer Crop Science		green house in California Bay area		
PI 258367	Flowering (days)	34.3			Bayer Crop Science		green house in California Bay area		
PI 304269	Flowering (days)	37.4			Bayer Crop Science		green house in California Bay area		
PI 304270	Flowering (days)	37.4			Bayer Crop Science		green house in California Bay area		
PI 304271	Flowering (days)	29.0			Bayer Crop Science		green house in California Bay area		
PI 311735	Flowering (days)	32.6			Bayer Crop Science		green house in California Bay area		
PI 311736*	Flowering (days)	30.6			Bayer Crop Science		green house in California Bay area		
PI 597833A	Flowering (days)	32.3			Bayer Crop Science		green house in California Bay area		
PI 597833B	Flowering (days)	33.0			Bayer Crop Science		green house in California Bay area		
PI 633192	Flowering (days)	31.3			Bayer Crop Science		green house in California Bay area		
PI 633193*	Flowering (days)	33.2			Bayer Crop Science		green house in California Bay area		
PI 633194	Flowering (days)	33.9			Bayer Crop Science		green house in California Bay area		
PI 650140	Flowering (days)	32.4			Bayer Crop Science		green house in California Bay area		
PI 650141	Flowering (days)	29.0			Bayer Crop Science		green house in California Bay area		
PI 650142A	Flowering (days)	31.3			Bayer Crop Science		green house in California Bay area		
PI 650142B	Flowering (days)	33.3			Bayer Crop Science		green house in California Bay area		
PI 650143*	Flowering (days)	38.0			Bayer Crop Science		green house in California Bay area		
