subject	variable	value	sample_plant_anatomical_entity	sample_collection_date	sample_institute	sample_city	sample_country	sample_associated_interval	sample_associated_factor
PI 650148	Mean total seed weight (g)	1.5805			Bayer Crop Science		green house in California Bay area		
PI 650149	Mean total seed weight (g)	1.518			Bayer Crop Science		green house in California Bay area		
PI 650150	Mean total seed weight (g)	2.2508			Bayer Crop Science		green house in California Bay area		
PI 650151	Mean total seed weight (g)	1.682			Bayer Crop Science		green house in California Bay area		
PI 650152	Mean total seed weight (g)	2.0645			Bayer Crop Science		green house in California Bay area		
PI 650153	Mean total seed weight (g)	1.6804			Bayer Crop Science		green house in California Bay area		
PI 650154	Mean total seed weight (g)	2.2814			Bayer Crop Science		green house in California Bay area		
PI 650155	Mean total seed weight (g)	4.2544			Bayer Crop Science		green house in California Bay area		
PI 650156	Mean total seed weight (g)	1.888			Bayer Crop Science		green house in California Bay area		
PI 650157A	Mean total seed weight (g)	3.4222			Bayer Crop Science		green house in California Bay area		
PI 650157B	Mean total seed weight (g)	2.3057			Bayer Crop Science		green house in California Bay area		
PI 650158A	Mean total seed weight (g)	1.7637			Bayer Crop Science		green house in California Bay area		
PI 650158B	Mean total seed weight (g)	2.0477			Bayer Crop Science		green house in California Bay area		
PI 650159	Mean total seed weight (g)	2.6669			Bayer Crop Science		green house in California Bay area		
PI 650163	Mean total seed weight (g)	3.1996			Bayer Crop Science		green house in California Bay area		
PI 650164	Mean total seed weight (g)	1.903			Bayer Crop Science		green house in California Bay area		
PI 650165	Mean total seed weight (g)	2.4967			Bayer Crop Science		green house in California Bay area		
PI 650166	Mean total seed weight (g)	2.9354			Bayer Crop Science		green house in California Bay area		
PI 650167	Mean total seed weight (g)	1.7985			Bayer Crop Science		green house in California Bay area		
PI 650168	Mean total seed weight (g)	4.9498			Bayer Crop Science		green house in California Bay area		
Suneson	Mean total seed weight (g)	2.9444			Bayer Crop Science		green house in California Bay area		
PI 258366	Estimated total seeds per plant	4236.0			Bayer Crop Science		green house in California Bay area		
PI 258367	Estimated total seeds per plant	3644.0			Bayer Crop Science		green house in California Bay area		
PI 304269	Estimated total seeds per plant	2298.0			Bayer Crop Science		green house in California Bay area		
PI 304270	Estimated total seeds per plant	3256.0			Bayer Crop Science		green house in California Bay area		
PI 304271	Estimated total seeds per plant	5125.0			Bayer Crop Science		green house in California Bay area		
PI 311735	Estimated total seeds per plant	4953.0			Bayer Crop Science		green house in California Bay area		
PI 311736	Estimated total seeds per plant	4712.0			Bayer Crop Science		green house in California Bay area		
PI 597833A	Estimated total seeds per plant	3313.0			Bayer Crop Science		green house in California Bay area		
PI 597833B	Estimated total seeds per plant	4780.0			Bayer Crop Science		green house in California Bay area		
PI 633192	Estimated total seeds per plant	5725.0			Bayer Crop Science		green house in California Bay area		
PI 633193	Estimated total seeds per plant	5681.0			Bayer Crop Science		green house in California Bay area		
PI 633194	Estimated total seeds per plant	3875.0			Bayer Crop Science		green house in California Bay area		
PI 650140	Estimated total seeds per plant	3331.0			Bayer Crop Science		green house in California Bay area		
PI 650141	Estimated total seeds per plant	4475.0			Bayer Crop Science		green house in California Bay area		
PI 650142A	Estimated total seeds per plant	3124.0			Bayer Crop Science		green house in California Bay area		
PI 650142B	Estimated total seeds per plant	4388.0			Bayer Crop Science		green house in California Bay area		
PI 650143	Estimated total seeds per plant	9225.0			Bayer Crop Science		green house in California Bay area		
PI 650144	Estimated total seeds per plant	3325.0			Bayer Crop Science		green house in California Bay area		
PI 650145	Estimated total seeds per plant	2801.0			Bayer Crop Science		green house in California Bay area		
PI 650146	Estimated total seeds per plant	2233.0			Bayer Crop Science		green house in California Bay area		
PI 650147	Estimated total seeds per plant	2164.0			Bayer Crop Science		green house in California Bay area		
PI 650148	Estimated total seeds per plant	2393.0			Bayer Crop Science		green house in California Bay area		
PI 650149	Estimated total seeds per plant	2754.0			Bayer Crop Science		green house in California Bay area		
PI 650150	Estimated total seeds per plant	2421.0			Bayer Crop Science		green house in California Bay area		
PI 650151	Estimated total seeds per plant	2336.0			Bayer Crop Science		green house in California Bay area		
PI 650152	Estimated total seeds per plant	6133.0			Bayer Crop Science		green house in California Bay area		
PI 650153	Estimated total seeds per plant	1604.0			Bayer Crop Science		green house in California Bay area		
PI 650154	Estimated total seeds per plant	2657.0			Bayer Crop Science		green house in California Bay area		
PI 650155	Estimated total seeds per plant	4674.0			Bayer Crop Science		green house in California Bay area		
PI 650156	Estimated total seeds per plant	2720.0			Bayer Crop Science		green house in California Bay area		
PI 650157A	Estimated total seeds per plant	4043.0			Bayer Crop Science		green house in California Bay area		
PI 650157B	Estimated total seeds per plant	2535.0			Bayer Crop Science		green house in California Bay area		
PI 650158A	Estimated total seeds per plant	1853.0			Bayer Crop Science		green house in California Bay area		
PI 650158B	Estimated total seeds per plant	2608.0			Bayer Crop Science		green house in California Bay area		
PI 650159	Estimated total seeds per plant	2551.0			Bayer Crop Science		green house in California Bay area		
PI 650163	Estimated total seeds per plant	3854.0			Bayer Crop Science		green house in California Bay area		
PI 650164	Estimated total seeds per plant	3217.0			Bayer Crop Science		green house in California Bay area		
PI 650165	Estimated total seeds per plant	3302.0			Bayer Crop Science		green house in California Bay area		
PI 650166	Estimated total seeds per plant	4307.0			Bayer Crop Science		green house in California Bay area		
PI 650167	Estimated total seeds per plant	8967.0			Bayer Crop Science		green house in California Bay area		
PI 650168	Estimated total seeds per plant	5771.0			Bayer Crop Science		green house in California Bay area		
Suneson	Estimated total seeds per plant	3753.0			Bayer Crop Science		green house in California Bay area		
PI 258366	Mean seed width (mm)	0.87			Bayer Crop Science		green house in California Bay area		
PI 258367	Mean seed width (mm)	0.99			Bayer Crop Science		green house in California Bay area		
PI 304269	Mean seed width (mm)	0.88			Bayer Crop Science		green house in California Bay area		
PI 304270	Mean seed width (mm)	0.65			Bayer Crop Science		green house in California Bay area		
PI 304271	Mean seed width (mm)	0.88			Bayer Crop Science		green house in California Bay area		
PI 311735	Mean seed width (mm)	1.06			Bayer Crop Science		green house in California Bay area		
PI 311736	Mean seed width (mm)	0.9			Bayer Crop Science		green house in California Bay area		
PI 597833A	Mean seed width (mm)	0.89			Bayer Crop Science		green house in California Bay area		
PI 597833B	Mean seed width (mm)	0.87			Bayer Crop Science		green house in California Bay area		
PI 633192	Mean seed width (mm)	0.87			Bayer Crop Science		green house in California Bay area		
PI 633193	Mean seed width (mm)	0.9			Bayer Crop Science		green house in California Bay area		
PI 633194	Mean seed width (mm)	0.94			Bayer Crop Science		green house in California Bay area		
PI 650140	Mean seed width (mm)	1.02			Bayer Crop Science		green house in California Bay area		
PI 650141	Mean seed width (mm)	0.83			Bayer Crop Science		green house in California Bay area		
PI 650142A	Mean seed width (mm)	0.83			Bayer Crop Science		green house in California Bay area		
PI 650142B	Mean seed width (mm)	0.76			Bayer Crop Science		green house in California Bay area		
PI 650143	Mean seed width (mm)	0.7			Bayer Crop Science		green house in California Bay area		
PI 650144	Mean seed width (mm)	0.75			Bayer Crop Science		green house in California Bay area		
PI 650145	Mean seed width (mm)	0.82			Bayer Crop Science		green house in California Bay area		
PI 650146	Mean seed width (mm)	0.81			Bayer Crop Science		green house in California Bay area		
PI 650147	Mean seed width (mm)	0.8			Bayer Crop Science		green house in California Bay area		
PI 650148	Mean seed width (mm)	0.79			Bayer Crop Science		green house in California Bay area		
PI 650149	Mean seed width (mm)	0.73			Bayer Crop Science		green house in California Bay area		
PI 650150	Mean seed width (mm)	0.89			Bayer Crop Science		green house in California Bay area		
PI 650151	Mean seed width (mm)	0.77			Bayer Crop Science		green house in California Bay area		
PI 650152	Mean seed width (mm)	0.79			Bayer Crop Science		green house in California Bay area		
PI 650153	Mean seed width (mm)	0.93			Bayer Crop Science		green house in California Bay area		
PI 650154	Mean seed width (mm)	0.97			Bayer Crop Science		green house in California Bay area		
PI 650155	Mean seed width (mm)	0.94			Bayer Crop Science		green house in California Bay area		
PI 650156	Mean seed width (mm)	0.81			Bayer Crop Science		green house in California Bay area		
PI 650157A	Mean seed width (mm)	0.91			Bayer Crop Science		green house in California Bay area		
PI 650157B	Mean seed width (mm)	1.0			Bayer Crop Science		green house in California Bay area		
PI 650158A	Mean seed width (mm)	0.96			Bayer Crop Science		green house in California Bay area		
PI 650158B	Mean seed width (mm)	0.94			Bayer Crop Science		green house in California Bay area		
PI 650159	Mean seed width (mm)	1.03			Bayer Crop Science		green house in California Bay area		
PI 650163	Mean seed width (mm)	0.96			Bayer Crop Science		green house in California Bay area		
PI 650164	Mean seed width (mm)	0.89			Bayer Crop Science		green house in California Bay area		
PI 650165	Mean seed width (mm)	0.95			Bayer Crop Science		green house in California Bay area		
PI 650166	Mean seed width (mm)	0.9			Bayer Crop Science		green house in California Bay area		
PI 650167	Mean seed width (mm)	0.69			Bayer Crop Science		green house in California Bay area		
PI 650168	Mean seed width (mm)	0.96			Bayer Crop Science		green house in California Bay area		
Suneson	Mean seed width (mm)	0.98			Bayer Crop Science		green house in California Bay area		
PI 258366	Mean seed length (mm)	1.83			Bayer Crop Science		green house in California Bay area		
PI 258367	Mean seed length (mm)	1.97			Bayer Crop Science		green house in California Bay area		
PI 304269	Mean seed length (mm)	1.87			Bayer Crop Science		green house in California Bay area		
PI 304270	Mean seed length (mm)	1.63			Bayer Crop Science		green house in California Bay area		
PI 304271	Mean seed length (mm)	1.72			Bayer Crop Science		green house in California Bay area		
PI 311735	Mean seed length (mm)	1.95			Bayer Crop Science		green house in California Bay area		
PI 311736	Mean seed length (mm)	1.7			Bayer Crop Science		green house in California Bay area		
PI 597833A	Mean seed length (mm)	1.8			Bayer Crop Science		green house in California Bay area		
PI 597833B	Mean seed length (mm)	1.65			Bayer Crop Science		green house in California Bay area		
PI 633192	Mean seed length (mm)	1.75			Bayer Crop Science		green house in California Bay area		
PI 633193	Mean seed length (mm)	1.76			Bayer Crop Science		green house in California Bay area		
PI 633194	Mean seed length (mm)	1.97			Bayer Crop Science		green house in California Bay area		
PI 650140	Mean seed length (mm)	2.12			Bayer Crop Science		green house in California Bay area		
PI 650141	Mean seed length (mm)	1.68			Bayer Crop Science		green house in California Bay area		
PI 650142A	Mean seed length (mm)	1.8			Bayer Crop Science		green house in California Bay area		
PI 650142B	Mean seed length (mm)	1.73			Bayer Crop Science		green house in California Bay area		
PI 650143	Mean seed length (mm)	1.31			Bayer Crop Science		green house in California Bay area		
PI 650144	Mean seed length (mm)	1.7			Bayer Crop Science		green house in California Bay area		
PI 650145	Mean seed length (mm)	1.78			Bayer Crop Science		green house in California Bay area		
PI 650146	Mean seed length (mm)	2.04			Bayer Crop Science		green house in California Bay area		
PI 650147	Mean seed length (mm)	2.03			Bayer Crop Science		green house in California Bay area		
PI 650148	Mean seed length (mm)	1.86			Bayer Crop Science		green house in California Bay area		
PI 650149	Mean seed length (mm)	1.64			Bayer Crop Science		green house in California Bay area		
PI 650150	Mean seed length (mm)	2.03			Bayer Crop Science		green house in California Bay area		
